tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_modelo_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio,fecha_recup,dias
DENUNCIA DE ROBO O HURTO,2019-05-03,2017-08-09,OLIVOS Nº 10,Buenos Aires,Protocolo 21,2017.0,SEDAN 4 P,RENAULT,SANDERO,Privado,Física,OLIVOS,BUENOS AIRES,Masculino,1961.0,ARGENTINA,1.0,2019-06-21,49 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-06,2010-10-28,ADROGUE Nº 5,Buenos Aires,Protocolo 21,2010.0,SEDAN 4 P,HONDA,FIT,Privado,Física,LONGCHAMPS,BUENOS AIRES,Femenino,1999.0,ARGENTINA,1.0,2019-09-19,136 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-29,2012-05-07,SAN MARTIN Nº 9,Buenos Aires,Protocolo 21,2012.0,SEDAN 4 P,TOYOTA,COROLLA,Privado,Física,SAN MARTIN,BUENOS AIRES,Masculino,1943.0,ARGENTINA,0.0,2019-06-24,26 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-07,2005-06-13,LANUS Nº 10,Buenos Aires,Importado,2005.0,SEDAN 4 P,VOLKSWAGEN,BORA,Privado,Física,REMEDIOS DE ESCALADA,BUENOS AIRES,Femenino,1996.0,ARGENTINA,1.0,2019-08-06,91 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-17,2007-11-30,CAPITAL FEDERAL Nº 007,Ciudad Autónoma de Bs.As.,Protocolo 21,2007.0,SEDAN 4 P,TOYOTA,COROLLA,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1954.0,ARGENTINA,1.0,2019-09-23,129 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-23,2016-11-30,CAPITAL FEDERAL Nº 008,Ciudad Autónoma de Bs.As.,Protocolo 21,2016.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1988.0,ARGENTINA,1.0,2019-07-05,43 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-28,2013-03-25,CAPITAL FEDERAL Nº 055,Ciudad Autónoma de Bs.As.,Importado,2013.0,SEDAN 4 P,CHEVROLET,AVEO,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1985.0,ARGENTINA,0.0,2019-07-25,58 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-06,2005-09-01,CAPITAL FEDERAL Nº 060,Ciudad Autónoma de Bs.As.,Protocolo 21,2005.0,SEDAN 4 P,TOYOTA,COROLLA,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1980.0,ARGENTINA,1.0,2019-05-29,23 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-08,2013-08-06,CAPITAL FEDERAL Nº 068,Ciudad Autónoma de Bs.As.,Nacional,2013.0,SEDAN 4 P,VOLKSWAGEN,SURAN,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1979.0,ARGENTINA,1.0,2019-06-13,36 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-27,2017-08-14,CORDOBA Nº 04,Córdoba,Nacional,2017.0,SEDAN 4 P,PEUGEOT,408,Privado,Física,CORDOBA,CORDOBA,Femenino,1958.0,ARGENTINA,0.0,2019-07-10,44 days 00:00:00.000000000
