tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_indec_id,titular_pais_nacimiento_indec_id
COMUNICACIÓN DE RECUPERO,2018-01-09,2012-05-03,2038,CAPITAL FEDERAL Nº 038,Ciudad Autónoma de Bs.As.,Nacional,2012.0,17.0,SEDAN 5 PTAS,08,CHEVROLET,CS,AGILE 5P 1.4 LT,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1989.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-04,2012-10-15,2039,CAPITAL FEDERAL Nº 039,Ciudad Autónoma de Bs.As.,Protocolo 21,2012.0,2.0,SEDAN 4 PTAS,136,VOLKSWAGEN,426,VOYAGE 1.6,2.0,Público,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1998.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-12,2007-03-29,2043,CAPITAL FEDERAL Nº 043,Ciudad Autónoma de Bs.As.,Nacional,2007.0,17.0,SEDAN 5 PTAS,34,PEUGEOT,FD,307 XS 1.6 5P 110CV,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1988.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-18,2017-02-23,2047,CAPITAL FEDERAL Nº 047,Ciudad Autónoma de Bs.As.,Protocolo 21,2017.0,2.0,SEDAN 4 PUERTAS,112,RENAULT,984,NUEVO LOGAN AUTHENTIQUE PLUS 1.6,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1991.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-11,1999-03-30,2050,CAPITAL FEDERAL Nº 050,Ciudad Autónoma de Bs.As.,Importado,1999.0,10.0,TODO TERRENO,180,LAND ROVER,051,FREELANDER 2.0D,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1912.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-22,2016-03-22,2052,CAPITAL FEDERAL Nº 052,Ciudad Autónoma de Bs.As.,Nacional,2016.0,17.0,SEDAN 5 PUERTAS,80,HONDA,11,HR-V EXL CVT,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2001.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-15,2008-01-28,2056,CAPITAL FEDERAL Nº 056,Ciudad Autónoma de Bs.As.,Nacional,2008.0,17.0,SEDAN 5 PTAS,34,PEUGEOT,FY,206 XT PREMIUM 1.6 5 P,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1964.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-29,2011-07-20,2057,CAPITAL FEDERAL Nº 057,Ciudad Autónoma de Bs.As.,Nacional,2011.0,12.0,SEDAN 4 PTAS,19,FORD,VF,"FOCUSEXE GHIA 2,0L NAFTA",1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1949.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-10,2010-02-12,2058,CAPITAL FEDERAL Nº 058,Ciudad Autónoma de Bs.As.,Protocolo 21,2010.0,5.0,SEDAN 5 PTAS,112,RENAULT,681,SANDERO 1.5 DCI CONFORT,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-25,2006-09-25,2060,CAPITAL FEDERAL Nº 060,Ciudad Autónoma de Bs.As.,Nacional,2006.0,17.0,SEDAN 5 PTAS,53,VOLKSWAGEN,KN,SURAN,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1991.0,Argentina,100,2,ARG
