tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio
COMUNICACIÓN DE RECUPERO,2018-04-23,2008-12-17,CAPITAL FEDERAL Nº 070,Ciudad Autónoma de Bs.As.,Nacional,2008.0,SEDAN 5 PTAS,PEUGEOT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-26,2011-04-07,CAPITAL FEDERAL Nº 071,Ciudad Autónoma de Bs.As.,Nacional,2011.0,SEDAN 5 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-09,2012-06-13,CAPITAL FEDERAL Nº 076,Ciudad Autónoma de Bs.As.,Protocolo 21,2012.0,RURAL 5 PTAS,RENAULT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1997.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-16,2000-06-23,CAPITAL FEDERAL Nº 077,Ciudad Autónoma de Bs.As.,Importado,2000.0,SEDAN 4 PTAS,HONDA,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-04,2011-06-03,CAPITAL FEDERAL Nº 080,Ciudad Autónoma de Bs.As.,Protocolo 21,2011.0,SEDAN 5 PTAS,FIAT,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1988.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-09,2008-10-23,CAPITAL FEDERAL Nº 080,Ciudad Autónoma de Bs.As.,Protocolo 21,2008.0,SEDAN 5 PTAS,SUZUKI,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1988.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-18,2014-06-25,CAPITAL FEDERAL Nº 080,Ciudad Autónoma de Bs.As.,Nacional,2014.0,FURGON,RENAULT,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1977.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-05,2016-01-11,CAPITAL FEDERAL Nº 081,Ciudad Autónoma de Bs.As.,Nacional,2016.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,2009.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-17,2010-01-26,CAPITAL FEDERAL Nº 084,Ciudad Autónoma de Bs.As.,Protocolo 21,2010.0,SEDAN 5 PTAS,HONDA,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,2001.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-11,2012-10-30,CAPITAL FEDERAL Nº 091,Ciudad Autónoma de Bs.As.,Nacional,2012.0,SEDAN 5 PTAS,PEUGEOT,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1973.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-19,1998-01-15,CAPITAL FEDERAL Nº 090,Ciudad Autónoma de Bs.As.,Nacional,1998.0,SEDAN 5 PTAS,FORD,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1957.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-20,2006-11-10,CAPITAL FEDERAL Nº 090,Ciudad Autónoma de Bs.As.,Protocolo 21,2006.0,SEDAN 5 PTAS,FORD,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1966.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-11,2002-07-18,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Nacional,2002.0,SEDAN 4 PUERTAS,CHEVROLET,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-11,2013-09-10,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Protocolo 21,2013.0,SEDAN 5 PUERTAS,CHEVROLET,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-06,2013-01-21,CAPITAL FEDERAL Nº 096,Ciudad Autónoma de Bs.As.,Protocolo 21,2013.0,SEDAN 5 PTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1994.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-20,2005-11-17,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Protocolo 21,2005.0,SEDAN 5 PTAS,CHEVROLET,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-24,2005-06-24,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Nacional,2005.0,PICK-UP,FORD,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-03,2012-01-26,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Protocolo 21,2012.0,RURAL 5 PTAS,RENAULT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-16,2013-03-21,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Protocolo 21,2013.0,SEDAN 3 PTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1961.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-27,2014-10-29,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Importado,2014.0,SEDAN 4 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-06,1993-07-13,CORDOBA Nº 01,Córdoba,Nacional,1993.0,SEDAN 3 PTAS,VOLKSWAGEN,Privado,Física,CORDOBA,CORDOBA,Masculino,1982.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-06,2011-12-19,CORDOBA Nº 02,Córdoba,Protocolo 21,2011.0,SEDAN 4 PUERTAS,PEUGEOT,Privado,Física,CORDOBA,CORDOBA,Masculino,1977.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-24,2005-11-24,CORDOBA Nº 02,Córdoba,Protocolo 21,2005.0,PICK UP,CHEVROLET,Privado,Jurídica,CORDOBA,CORDOBA,No identificado,1992.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-12,1996-08-06,RIO CUARTO Nº 1,Córdoba,Nacional,1996.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Física,RIO CUARTO,CORDOBA,Masculino,1983.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-16,2012-04-26,CORDOBA Nº 08,Córdoba,Nacional,2012.0,SEDAN 5 PTAS,FORD,Privado,Física,CORDOBA,CORDOBA,Masculino,1981.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-24,2002-09-03,CORDOBA Nº 13,Córdoba,Protocolo 21,2002.0,PICK-UP,CHEVROLET,Privado,Jurídica,CORDOBA,CORDOBA,No identificado,1992.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-12,2006-04-18,CORDOBA Nº 18,Córdoba,Protocolo 21,2006.0,SEDAN 5 PTAS,VOLKSWAGEN,Privado,Física,CORDOBA,CORDOBA,Femenino,1989.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-13,2012-01-10,CORDOBA Nº 19,Córdoba,Nacional,2012.0,FURGON,RENAULT,Privado,Física,CORDOBA CAPITAL,CORDOBA,Femenino,1986.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-10,2013-01-08,COSQUIN Nº 2,Córdoba,Protocolo 21,2013.0,RURAL 5 PUERTAS,RENAULT,Privado,Física,TANTI,CORDOBA,Femenino,1975.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-24,2015-06-30,CORDOBA Nº 22,Córdoba,Protocolo 21,2015.0,SEDAN 5 PUERTAS,CITROEN,Privado,Física,CORDOBA,CORDOBA,Masculino,1977.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-19,2001-05-04,CORDOBA Nº 24,Córdoba,Nacional,2001.0,PICK-UP,FORD,Privado,Jurídica,CORDOBA,CORDOBA,No identificado,1992.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-27,2005-07-28,VILLA ALLENDE Nº 2,Córdoba,Protocolo 21,2005.0,RURAL 5 PTAS,FORD,Privado,Física,LA CALERA,CORDOBA,No identificado,1992.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-16,2011-08-03,PUERTO MADRYN Nº 1,Chubut,Importado,2011.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Física,PUERTO MADRYN,CHUBUT,Femenino,1971.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-13,2010-02-23,MENDOZA Nº 05,Mendoza,Nacional,2010.0,UTILITARIO,CHEVROLET,Privado,Jurídica,GODOY CRUZ,MENDOZA,No identificado,2013.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-12,2013-10-31,MENDOZA Nº 07,Mendoza,Protocolo 21,2013.0,SEDAN 5 PUERTAS,FIAT,Privado,Jurídica,CIUDAD,MENDOZA,No identificado,1966.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-23,2010-04-07,NEUQUEN Nº 4,Neuquén,Protocolo 21,2010.0,SEDAN 4 PUERTAS,CHEVROLET,Privado,Física,,NEUQUEN,Femenino,1951.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-25,2015-07-21,SALTA Nº 3,Salta,Protocolo 21,2015.0,SEDAN 5 PUERTAS,RENAULT,Privado,Jurídica,CORONEL MOLDES,SALTA,No identificado,2010.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-03,2010-09-29,SALTA Nº 5,Salta,Nacional,2010.0,PICK-UP,FORD,Privado,Física,SALTA,SALTA,Masculino,1967.0,ARGENTINA,0
COMUNICACIÓN DE RECUPERO,2018-04-05,2014-01-22,ROSARIO Nº 04,Santa Fe,Importado,2014.0,SEDAN 4 PUERTAS,TOYOTA,Privado,Jurídica,ROSARIO,SANTA FE,No identificado,1963.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-05,2005-03-10,SUNCHALES,Santa Fe,Protocolo 21,2005.0,PICK UP,CHEVROLET,Privado,Jurídica,SUNCHALES,SANTA FE,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-16,1999-05-13,ROSARIO Nº 10,Santa Fe,Importado,1999.0,FURGONETA,FORD,Privado,Física,ROSARIO,SANTA FE,Femenino,1949.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-25,2015-01-29,ROSARIO Nº 10,Santa Fe,Nacional,2015.0,PICK-UP,VOLKSWAGEN,Privado,Jurídica,ROSARIO,SANTA FE,No identificado,1959.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-12,2004-01-06,ROSARIO Nº 10,Santa Fe,Nacional,2004.0,PICK-UP,TOYOTA,Privado,Jurídica,ROSARIO,SANTA FE,No identificado,1960.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-06,2003-08-04,ROSARIO Nº 14,Santa Fe,Nacional,2003.0,PICK-UP,FORD,Privado,Jurídica,ROSARIO,SANTA FE,No identificado,1963.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-04-24,2017-10-18,ROSARIO Nº 16,Santa Fe,Nacional,2017.0,SEDAN 5 PUERTAS,FIAT,Privado,Física,ROSARIO,SANTA FE,Masculino,1952.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-09,1999-05-19,VENADO TUERTO Nº 3,Santa Fe,Protocolo 21,1999.0,SEDAN 3 PUERTAS,VOLKSWAGEN,Privado,Física,SANCTI SPIRITU,SANTA FE,Masculino,1950.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-24,2008-02-12,ROSARIO Nº 18,Santa Fe,Nacional,2008.0,FURGON,RENAULT,Privado,Física,FUNES,SANTA FE,Masculino,1988.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-25,1998-06-19,AVELLANEDA Nº 6,Buenos Aires,Importado,1998.0,FURGON VIDRIADO,FIAT,Privado,Física,SARANDI,BUENOS AIRES,Masculino,1945.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-04-25,1998-01-28,CORDOBA Nº 07,Córdoba,Importado,1998.0,SEDAN 4 PUERTAS,TOYOTA,Privado,Jurídica,CORDOBA,CORDOBA,No identificado,1992.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-30,1997-02-07,LANUS Nº 2,Buenos Aires,Nacional,1996.0,BERLINA 5 PUERTAS,RENAULT,Privado,Física,LANUS,BUENOS AIRES,Femenino,1971.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-03,2001-04-17,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Nacional,2001.0,SEDAN,CHEVROLET,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-24,2001-07-26,FLORENCIO VARELA Nº 1,Buenos Aires,Nacional,2001.0,SEDAN 4 PTAS,FIAT,Privado,Física,"FLORENCIO VARELA, BS.AS.",BUENOS AIRES,No identificado,1934.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-03,2012-12-18,LA PLATA Nº 01,Buenos Aires,Nacional,2012.0,PICK-UP,FORD,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-10,2014-01-10,LA PLATA Nº 01,Buenos Aires,Importado,2014.0,RURAL 5 PUERTAS,CHEVROLET,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-03,2013-01-28,LA PLATA Nº 01,Buenos Aires,Nacional,2013.0,SEDAN 5 PUERTAS,CHEVROLET,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-07,2014-08-01,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2014.0,SEDAN 5 PUERTAS,FORD,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-10,2012-01-03,LA PLATA Nº 01,Buenos Aires,Nacional,2012.0,PICK-UP,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-03,2012-10-17,LA PLATA Nº 01,Buenos Aires,Importado,2012.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-09,2014-08-26,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2014.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1990.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-07,2014-03-28,LA PLATA Nº 01,Buenos Aires,Nacional,2014.0,SEDAN 5 PUERTAS,CITROEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-10,2011-09-22,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2011.0,RURAL 5 PTAS,FIAT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-10,2013-05-02,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2013.0,RURAL 5 PTAS,CITROEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-24,2008-01-15,LA PLATA Nº 01,Buenos Aires,Nacional,2008.0,SEDAN 5 PTAS,CITROEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-21,2013-01-14,LA PLATA Nº 01,Buenos Aires,Nacional,2013.0,SEDAN 5 PTAS,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-24,2015-07-13,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2015.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-22,2007-09-12,LA PLATA Nº 04,Buenos Aires,Protocolo 21,2007.0,RURAL 5 PTAS,FORD,Privado,Física,M.B.GONNET,BUENOS AIRES,Femenino,1950.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-08,2014-08-06,LOMAS DE ZAMORA Nº 1,Buenos Aires,Protocolo 21,2014.0,SEDAN 5 PUERTAS,FORD,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1984.0,ARGENTINA,0
COMUNICACIÓN DE RECUPERO,2018-05-30,2017-09-22,MORON Nº 02,Buenos Aires,Protocolo 21,2017.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Física,MORÓN,BUENOS AIRES,Masculino,1989.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-04,2016-11-22,NECOCHEA Nº 1,Buenos Aires,Importado,2016.0,PICK-UP CABINA SIMPLE,LIFAN,Privado,Física,NECOCHEA,BUENOS AIRES,Masculino,1967.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-23,2010-01-04,SAN FERNANDO Nº 1,Buenos Aires,Protocolo 21,2010.0,SEDAN 5 PTAS,FIAT,Privado,Física,SAN FERNANDO,BUENOS AIRES,Masculino,1950.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-18,2005-06-24,TRES DE FEBRERO Nº 1,Buenos Aires,Protocolo 21,2005.0,SEDAN 3 PTAS,VOLKSWAGEN,Privado,Física,CASEROS,BUENOS AIRES,Masculino,1971.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-04,2017-09-05,LA MATANZA Nº 02,Buenos Aires,Nacional,2017.0,SEDAN 5 PUERTAS,HONDA,Privado,Física,RAMOS MEJIA,BUENOS AIRES,Masculino,1947.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-16,2005-04-29,SAN ISIDRO Nº 02,Buenos Aires,Protocolo 21,2005.0,SEDAN 3 PTAS,VOLKSWAGEN,Privado,Física,BOULOGNE,BUENOS AIRES,Femenino,1981.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-18,2011-03-28,SAN VICENTE,Buenos Aires,Nacional,2011.0,SEDAN 4 PTAS,CHEVROLET,Privado,Física,DOMSELAAR,BUENOS AIRES,Masculino,1949.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-15,1995-03-07,MORON Nº 01,Buenos Aires,Nacional,1993.0,SEDAN 3 PTAS,VOLKSWAGEN,Privado,Física,MORON,BUENOS AIRES,No identificado,1985.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-02,1991-08-27,LA MATANZA Nº 03,Buenos Aires,Nacional,1991.0,SEDAN 5 PTAS,RENAULT,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Masculino,1976.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-09,2005-03-29,LOMAS DE ZAMORA Nº 3,Buenos Aires,Protocolo 21,2005.0,SEDAN 5 PTAS,VOLKSWAGEN,Privado,Física,L. DE ZAMORA,BUENOS AIRES,Masculino,1994.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-03,2005-03-11,PERGAMINO Nº 2,Buenos Aires,Protocolo 21,2005.0,PICK UP,CHEVROLET,Privado,Física,PERGAMINO,BUENOS AIRES,Masculino,1965.0,ARGENTINA,0
COMUNICACIÓN DE RECUPERO,2018-05-09,2016-05-02,HURLINGHAM Nº 1 (EX. MORON Nº 4),Buenos Aires,Protocolo 21,2016.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Física,HURLINGHAM,BUENOS AIRES,Masculino,1982.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-28,2012-08-30,HURLINGHAM Nº 1 (EX. MORON Nº 4),Buenos Aires,Nacional,2012.0,SEDAN 5 PTAS,PEUGEOT,Privado,Física,STOS.TESEI,BUENOS AIRES,Masculino,1952.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-03,1994-07-11,ESTEBAN ECHEVERRIA Nº 2,Buenos Aires,Nacional,1994.0,SEDAN 4 PTAS,FIAT,Privado,Física,MONTE GRANDE,BUENOS AIRES,Femenino,1949.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-30,2013-09-13,LOMAS DE ZAMORA Nº 5,Buenos Aires,Protocolo 21,2013.0,SEDAN 5 PTAS,RENAULT,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1967.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-02,2003-09-05,MORON Nº 06,Buenos Aires,Protocolo 21,2003.0,SEDAN 5 PTAS,RENAULT,Privado,Física,EL PALOMAR,BUENOS AIRES,Femenino,1975.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-02,2017-10-11,OLIVOS Nº 05,Buenos Aires,Nacional,2017.0,SEDAN 5 PUERTAS,CITROEN,Privado,Física,CARAPACHAY,BUENOS AIRES,Femenino,1973.0,ARGENTINA,0
COMUNICACIÓN DE RECUPERO,2018-05-09,1998-09-08,BERAZATEGUI Nº 2,Buenos Aires,Nacional,1998.0,SEDAN 5 PTAS,FORD,Privado,Física,RANELAGH,BUENOS AIRES,Masculino,1981.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-09,1997-04-06,LA MATANZA Nº 07,Buenos Aires,Nacional,1997.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Masculino,1969.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-31,2009-03-11,LA MATANZA Nº 07,Buenos Aires,Protocolo 21,2009.0,SEDAN 5 PTAS,RENAULT,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Femenino,1982.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-02,2009-04-16,LA MATANZA Nº 08,Buenos Aires,Protocolo 21,2009.0,SEDAN 5 PTAS,VOLKSWAGEN,Privado,Física,RAMOS MEJIA,BUENOS AIRES,Masculino,1986.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-30,2013-02-22,OLIVOS Nº 06,Buenos Aires,Importado,2013.0,SEDAN 5 PUERTAS,FORD,Privado,Jurídica,MUNRO,BUENOS AIRES,No identificado,2003.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-21,2013-02-19,MORENO Nº 2,Buenos Aires,Protocolo 21,2013.0,SEDAN 5 PTAS,VOLKSWAGEN,Privado,Física,PASO DEL REY,BUENOS AIRES,Femenino,1982.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-05-07,2014-01-20,LA PLATA Nº 07,Buenos Aires,Nacional,2014.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-07,2011-06-07,LA PLATA Nº 07,Buenos Aires,Importado,2011.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-11,2007-08-14,LA PLATA Nº 07,Buenos Aires,Nacional,2007.0,SEDAN 5 PTAS,PEUGEOT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-28,2013-05-27,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2013.0,RURAL 5 PUERTAS,CITROEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-28,2008-03-05,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2008.0,SEDAN 5 PTAS,CITROEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-10,2011-08-18,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2011.0,SEDAN 5 PTAS,FIAT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-14,2010-09-24,LA PLATA Nº 07,Buenos Aires,Nacional,2010.0,SEDAN 5 PTAS,PEUGEOT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-18,2013-02-19,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2013.0,SEDAN 5 PUERTAS,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-05-11,2012-09-27,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2012.0,RURAL 5 PTAS,RENAULT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
