tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio
COMUNICACIÓN DE RECUPERO,2018-11-14,2009-08-10,CAPITAL FEDERAL Nº 048,Ciudad Autónoma de Bs.As.,Nacional,2009.0,SEDAN 5 PTAS,CITROEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1977.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-02,2009-09-03,CAPITAL FEDERAL Nº 050,Ciudad Autónoma de Bs.As.,Protocolo 21,2009.0,TRACTOR DE CARRETERA,MERCEDES BENZ,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,2007.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-09,2009-02-17,CAPITAL FEDERAL Nº 050,Ciudad Autónoma de Bs.As.,Nacional,2009.0,SEMIRREMOLQUE,HERMANN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,2007.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-23,2014-02-11,CAPITAL FEDERAL Nº 052,Ciudad Autónoma de Bs.As.,Protocolo 21,2014.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1963.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-15,2016-11-09,CAPITAL FEDERAL Nº 053,Ciudad Autónoma de Bs.As.,Importado,2016.0,SEDAN 5 PUERTAS,SMART,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1952.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-15,2012-01-10,CAPITAL FEDERAL Nº 061,Ciudad Autónoma de Bs.As.,Protocolo 21,2012.0,SEDAN 5 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1977.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-16,2011-12-29,CAPITAL FEDERAL Nº 061,Ciudad Autónoma de Bs.As.,Nacional,2011.0,SEDAN 5 PUERTAS,RENAULT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1977.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-01,2014-04-25,CAPITAL FEDERAL Nº 070,Ciudad Autónoma de Bs.As.,Protocolo 21,2014.0,SEDAN 4 PUERTAS,CHEVROLET,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1958.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-06,2013-09-24,CAPITAL FEDERAL Nº 071,Ciudad Autónoma de Bs.As.,Protocolo 21,2013.0,SEDAN 5 PUERTAS,RENAULT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-15,2014-10-03,CAPITAL FEDERAL Nº 071,Ciudad Autónoma de Bs.As.,Protocolo 21,2014.0,SEDAN 5 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
